id;rif_contrat;id_modalidad;id_sub_modalidad;fec_inicio_cont;fec_fin_cont;nro_procedimiento;nro_contrato;id_estado_contrato;descr_contrato;bienes;servicios;obras;monto;dolar;euro;petros;bolivares;calidad;responsabilidad;conocimiento;oportunidad;total_calif;calificacion;notf_cont;fecha_not;medio;nro_oc_os;fileimagen;id_usuario;fecha_evaluacion
25;J312515880;4;0;2009-08-19;2009-08-19;2527;2527;1;POR EL APOYO DEL REFRIGERIO EN LA  ACTIVIDAD DE LOS RESPONSABLE DE CUMPLIMIENTOS DE PREVENCION CONTRA CAPITALES ;;;;738.00;;;;;;;;;88;MUY BUENO;S;2010-09-21;EMAIL;2527;;1;2010-09-21
26;J310311285;4;0;2010-06-14;2010-06-17;2877;2877;1;POR LA COMPRA DE 150 CILINDROS CISA PERA 60 MM Y 100 TEIPES NEGROS COBRA ;;;;22198.96;;;;;;;;;88;MUY BUENO;S;2010-09-21;EMAIL;2877;;1;2010-09-21
27;J310311285;4;0;2010-05-03;2010-05-28;2824;2824;1;POR LA COMPRA DE 02 ANGULOS L 2X2 DE 3 MM 6 MTS DE LARGO, 12 PLATINA DE 3/4 X 3 MM X6MTS 02 DISCO DE CORTE PARA METAL DE 10 03 KGS ELECTRODOS  Y 04 UNID. DE GEGETAS.;;;;2848.04;;;;;;;;;88;MUY BUENO;S;2010-09-22;EMAIL;2824;;1;2010-09-22
28;J001527214;4;0;2010-02-08;2010-02-18;2564;2564;1;POR LA COMPRA DE 30  PAQUETES X 6 CARPETAS CON BOLSILLO DE PRESENTACION COLOR AZUL Y VERDE;;;;588.00;;;;;;;;;88;MUY BUENO;S;2010-09-22;EMAIL;2564;;1;2010-09-22
29;J001527214;4;0;2010-02-11;2010-02-22;2642;2642;1;POR LA COMPRA DE 100 UNIDADES DE LIBRETAS EMPASTADAS 1 LINEA 100H Y 144 LIBRETAS DE INDICE;;;;3553.18;;;;;;;;;88;MUY BUENO;S;2010-09-22;EMAIL;2642;;1;2010-09-22
30;J001527214;4;0;2010-02-11;2010-02-23;2645;2645;23;POR AL COMPRA DE 350 UNIDADES DE BORRA NATA , 100 CAJAS X 100 CHINCHESP/CARTELERAS 144 CAJA CLIPS MARIPOSA NÃÂ° 1, 244 CAJA X 12 LAPICES GRAFITO MONGOL, 99 CAJA ARCHICOMODS , 300 UNIDADES OFICIOS , 144 UNIDADES ENGRAPADORAS ACE CLIPPER , 200 BOLIGRAFOS P.M AULE Y NEGROS 300 CAJAS DE GRAPAS CORRUGADAS ETC. ;;;;76394.12;;;;;;;;;95;EXCELENTE;S;2010-09-22;EMAIL;2645;;1;2010-09-22
31;J316448720;4;0;2010-02-25;2010-03-03;2580;2580;1;APOYANDO LA COMUNIDAD DE LA PARROQUIA PAGUITA EN FECHA DE 03-03-2010,CAÃÂO AMARILLO CATIA CON DOS (02) CAMIONES CON CONTRATACIONE SDE SONIDO. ;;;;15000.00;;;;;;;;;88;MUY BUENO;S;2010-09-22;EMAIL;2580;;1;2010-09-22
32;J313789488;4;0;2010-06-15;2010-06-23;2886;2886;1;POR LA COMPRA DE 03 RATONES , MARCA GENIUS XSCROLL, COLOR NEGRO , 13 DIM DE MEMORIA , 14 DIM DE MEMORIA DD2 ,15 CABLE DE DATOS ETC.;;;;44412.48;;;;;;;;;88;MUY BUENO;S;2010-09-22;EMAIL;2886;;1;2010-09-22
33;J313789488;4;0;2010-03-03;2010-04-12;2778;2778;1;POR LA COMPRA DE 04 CUATRO ESCANER PORTATIL GENIUS COLORPAGE SF6001200 DPI USB;;;;6406.40;;;;;;;;;88;MUY BUENO;S;2010-09-22;EMAIL;2778;;1;2010-09-22
34;J313789488;4;0;2010-04-16;2010-04-29;2779;2779;1;POR LA COMPRA DE 30 TARGUS 15.6 CLASSIC CLAMSELL Y 06  TARGUS TSS112US PARA MINI LAPTOP;;;;6484.80;;;;;;;;;88;MUY BUENO;S;2010-09-22;EMAIL;2779;;1;2010-09-22
35;J305179395;4;0;2010-03-10;2010-03-12;2683;2683;1;POR LA COMPRA DE CABLE BLANCO TW 12 ROLLOS X100.;;;;1058.40;;;;;;;;;88;MUY BUENO;S;2010-09-22;EMAIL;2683;;1;2010-09-22
36;J305179395;4;0;2010-05-24;2010-05-25;2833;2833;1;POR LA COMPRAD E 02 BREAKER TDQ 3 X 200 AMO Y 02 BREAKER THQC 2X 60AMP;;;;2307.20;;;;;;;;;88;MUY BUENO;S;2010-09-15;EMAIL;2833;;1;2010-09-22
37;J305179395;4;0;2010-05-18;2010-05-25;2810;2810;1;POR LA COMPRA DE UN CAJETIN PARA 96 JUEGOS DE LLAVES;;;;383.04;;;;;;;;;88;MUY BUENO;S;2010-09-22;EMAIL;2810;;1;2010-09-22
38;J003019976;4;0;2010-03-03;2010-03-03;2582;2582;1;POR LA PUBLICACION  DE AVISO REFERENTE A CARTEL DE NOTIFICACION A NOMBRE DE CARLOS LUIS DIAZ  AREVALO ;;;;1086.89;;;;;;;;;88;MUY BUENO;S;2010-09-22;EMAIL;2582;;1;2010-09-22
39;J302025281;4;0;2009-11-11;2009-11-16;2466;2466;1;POR LA PUBLICACION DE LA 5TA EDICCION DEL ENCARTRE INSTITUCIONAL BANDES.;;;;57624.00;;;;;;;;;88;MUY BUENO;S;2010-09-27;EMAIL;2466;;1;2010-09-27
40;J314117114;4;0;2010-04-15;2010-04-20;2773;2773;1;POR LA REPARACION DE BOMBA # 2 SISTEMA DE AIRE ACONDICIONADO CENTRAL TIPO AGUA HELADA DEL EDIFICIO VEROES INCLUYE COMPUTOS METRICOS Y PRESUPUESTOS BASE.;;;;10300.00;;;;;;;;;88;MUY BUENO;S;2010-09-22;EMAIL;2773;;1;2010-09-22
41;J314117114;4;0;2010-07-16;2010-07-19;2881;2881;1;POR EL SERVICIOS DE MANENIMIENTO GENERAL DE 108 PUERTAS DE VIDRIOSTEMPLEX DE LAS TORRES BANDES Y VEROES CON FRECUENCIA TRISMETRAL;;;;42120.00;;;;;;;;;88;MUY BUENO;S;2010-09-23;EMAIL;2881;;1;2010-09-23
42;J314117114;4;0;2010-04-15;2010-04-20;2773;2773;1;REPARACION DE BOMBA #2 DEL SISTEMA DE AIRE ACONDICIONADO CENTRAL TIPO AGUA HELADA DEL EDIFICIO VEROES INCLUYE COMPU;;;;10300.00;;;;;;;;;88;MUY BUENO;S;2010-09-23;EMAIL;2773;;1;2010-09-23
43;J314117114;4;0;2010-02-19;2010-02-23;2569;2569;1;POR LA REPARACION SPLIT MARCA CARRIER DE 40 TR MODELO 38AE044510 QUE ACONDICIONA SALA FRANCISCO DE MIRANDA.;;;;15176.00;;;;;;;;;88;MUY BUENO;S;2010-09-23;EMAIL;2569;;1;2010-09-23
44;J297109668;4;0;2010-06-29;2011-07-07;2882;2882;1;POR LA COMPRA DE MATERIALES DE OFICINAS 300 CARPETAS TIPO CARTAS ;;;;5622.40;;;;;;;;;88;MUY BUENO;S;2010-09-23;EMAIL;2882;;1;2010-09-23
45;J297109668;4;0;2010-06-18;2011-06-22;2874;2874;1;POR LA COMPRA DE DOS (02) NEVERA EJECUTIVA MARCA G.DE MODELO TA04 COLOR GRIS;;;;4524.80;;;;;;;;;58;REGULAR;S;2010-09-23;EMAIL;2874;;1;2010-09-23
46;J297109668;4;0;2010-03-15;2010-03-17;2658;2658;1;POR LA COMPRA DE UNA CONSOLA MARCA ACOX AIRE ACONDICIONADO.;;;;3136.00;;;;;;;;;88;MUY BUENO;S;2010-09-23;EMAIL;2658;;1;2010-09-23
47;J297109668;4;0;2010-02-19;2010-03-03;2593;2593;14;POR LA COMPRA DE (04) CUATRO REPUESTOS LEXMARK NÃÂ° PARTE 40X0100 Y (04) CUATRO REPUESTO LEXMARK NÃÂ° X850H22G;;;;24115.84;;;;;;;;;88;MUY BUENO;S;2010-09-23;EMAIL;2593;;1;2010-09-23
48;J000779945;4;0;2010-03-29;2010-04-05;2721;2721;1;POR LA COMPRA DE  LAS LLAVES DE FREGADEROS MNOMANDO DE UNA SOLA BASE;;;;2024.96;;;;;;;;;88;MUY BUENO;S;2010-09-23;EMAIL;2721;;1;2010-09-23
49;J000779945;4;0;2010-03-03;2010-04-14;2723;2723;1;POR LA COMPRA DE 10 GALONES DE REMOVEDORES DE PINTURA;;;;1113.95;;;;;;;;;88;MUY BUENO;S;2010-09-23;EMAIL;2723;;1;2010-09-23
50;J000779945;4;0;2010-03-01;2010-03-03;2604;2604;1;POR LA COMPRA DE 30 RAMPLUS COLOR VERDE PAQUETE , 30 CERRADURAS PARA EMBUTIR , 30 CERRADURAS DOBLE PASE ,12 LLAVE MONOMANDO PARA LAVAPLATO Y 30 HOJAS PARA SEGUETAS;;;;21490.56;;;;;;;;;88;MUY BUENO;S;2010-09-23;EMAIL;2604;;1;2010-09-23
51;J000779945;4;0;2010-07-09;2010-07-13;2908;2908;1;POR LA COMPRA DE CUÃÂETE DE PINTURA IMPERMEABILIZANTE ACRILICA ;;;;1881.60;;;;;;;;;88;MUY BUENO;S;2010-09-23;EMAIL;2908;;1;2010-09-23
52;J000779945;1;0;2010-05-03;2010-06-29;2897;2897;1;POR LA COMPRA DE UNA PUERTA ENTAMBORADA EN CHAPILLA DE CEDRILLO CON SU CANTOS MAS TRES JUEGOS DE BISAGRA METALICAS.;;;;664.41;;;;;;;;;88;MUY BUENO;S;2010-09-23;EMAIL;2897;;1;2010-09-23
53;J311038760;4;0;2010-03-03;2010-03-15;2637;2637;1;POR LA ELABORACION DE1000 TARJETAS DE PRESENTACION PARA DISTRIBUIDA DEKLA SIGUIENTE  MANERA 200 EL CONSULTOR JURIDICO , 200 CONSULTORA JURIDICA  , 200 COORDINADORA DE ASISTENCIA LEGAL;;;;2508.80;;;;;;;;;88;MUY BUENO;S;2010-09-23;EMAIL;2637;;1;2010-09-23
54;J311038760;4;0;2010-04-12;2010-04-14;2722;2722;1;POR LA IMPRESION DE  PANCARTAS CON APOYOS Y CORTA VIENTO MATERIAL BANNER COLOR FULL MEDIDAS ;;;;2520.00;;;;;;;;;88;MUY BUENO;S;2010-09-23;EMAIL;2722;;1;2010-09-23
55;J311038760;4;0;2009-10-05;2009-10-13;2217;2217;1;POR LA IMPRESION DE 1000 TRIPTICOS REFERENTES A LA LOPCYMAT ;;;;1792.00;;;;;;;;;88;MUY BUENO;S;2010-09-23;EMAIL;2217;;1;2010-09-23
56;J302025281;4;0;2009-12-03;2009-12-11;2430;2430;1;POR PUBLICACION DE UN CINTILLA EN EL DIARIO PANRAMA EL DIA DOMINGO 6 DE DICIEMBRE 2009 CON MOTIVO DE LA PUBLICACION DE BANDES PUNTO POR PUNTO  FUL COLOR;;;;37273.60;;;;;;;;;88;MUY BUENO;S;2010-09-27;EMAIL;2430;;1;2010-09-27
57;J295677197;4;0;2010-01-21;2010-09-08;2552;2552;1;POR LA REPARACION UN PISO 2 QUE A LA GERENCIA EJECUTIVA DE PLANIFICACION Y GESTION ESTRATEGICA Y AREAS ANEXAS.;;;;6664.00;;;;;;;;;88;MUY BUENO;S;2010-09-27;EMAIL;2552;;1;2010-09-27
58;J314117114;4;0;2010-03-03;2010-03-10;2648;2648;1;POR LA REPARACION DE LA REJA TIPO SANTA MARIA AUTOMATIZADA UBICADA ENTRADA PRINCIPAL PB. EDIFICIO SEDE BANDES INCLUYE COMPUTOS METRICOS;;;;1950.00;;;;;;;;;88;MUY BUENO;S;2010-09-27;EMAIL;2646;;1;2010-09-27
59;J313658383;4;0;2010-05-05;2010-05-25;2823;2823;1;POR UNA REBANADORASEMI INDUSTRIAL DE ALUMNIO PRENSADO Y ACERO INOXIDABLE;;;;2823.00;;;;;;;;;88;MUY BUENO;S;2010-09-27;EMAIL;2823;;1;2010-09-27
60;J313658383;4;0;2010-05-05;2010-05-25;2819;2819;1;POR LA COMPRA DE UNA CAJA DE COLORES , 02 JUEGOS DE ESCUADRRAS , UN ESCALIMETRO , 04 METROS DE 7.5  Y 05 SACAPUNTA PEQUEÃÂOS;;;;244.00;;;;;;;;;88;MUY BUENO;S;2010-09-27;EMAIL;2819;;1;2010-09-27
61;J313658383;4;0;2010-05-26;2010-06-18;2857;2857;1;POR LA COMPRA DE PAQUETES DE GALLETAS VARIADAS , REFRESCOS PARA EL APOYO DE LA PARROQUIA ALTAGRACIA ;;;;11416.40;;;;;;;;;88;MUY BUENO;S;2010-09-27;EMAIL;2857;;1;2010-09-27
62;J313658383;4;0;2009-10-26;2009-11-03;2328;2328;1;SUMINISTRO E INSTALACIONES MINISPLIT CASSETTE DE 5 TR QUE ACONDICIONARA EL AREA DE BIENES TAR SOCIAL PB EDAL ANEXAMOS CUMPUTOS METRICOS.;;;;27150.00;;;;;;;;;88;MUY BUENO;S;2010-09-27;EMAIL;2328;;1;2010-09-27
63;J297139060;4;0;2010-06-15;2010-07-07;2895;2895;1;POR LA COMPRA DE 200 BOLIGRAFOS TIPO CHUPETA DE METAL CON GUAYA E IMANY 400 CARPETAS INSTITUCIONALES CON EL LOGO DE BANDES ;;;;81719.68;;;;;;;;;88;MUY BUENO;S;2010-09-27;EMAIL;2895;;1;2010-09-27
64;J304061820;4;0;2010-03-03;2010-03-30;2685;2685;1;POR LA COMPRA DE 50 PAQUETES DE CARPETAS 03 AROS DE 11/12 COLOR BLANCO TAMAÃÂO CARTA;;;;764.40;;;;;;;;;88;MUY BUENO;S;2010-09-27;EMAIL;2685;;1;2010-09-27
65;J310240353;4;0;2010-02-19;2010-02-22;2700;2700;1;POR LA ELABORACION DE UN (01) CALENDARIOS PAPEL GLACE 300, 17X17 CM CON ANILLODO DE METAL FULL COLOR ;;;;98000.00;;;;;;;;;93;EXCELENTE;S;2010-09-28;EMAIL;2700;;1;2010-09-28
66;J310240353;4;0;2010-02-19;2010-02-22;2701;2701;1;POR IMPRESION DE 2000 SEMANARIOS MEDIDAS 1/4 DE PLIEGO COLOR FULL PAPEL 20 BOND BLANCO;;;;42000.00;;;;;;;;;88;MUY BUENO;S;2010-09-28;EMAIL;2701;;1;2010-09-28
67;J313658383;4;0;2010-07-14;2010-09-24;2971;2971;1;POR LA COMPRA DE 500 PAQUETES DE AGUA MINERAL DE 24 UNIDADES DE 330 CC MARCA MINELBA;;;;34720.00;;;;;;;;;88;MUY BUENO;S;2010-09-28;EMAIL;2921;;1;2010-09-28
68;J001164928;4;0;2010-03-10;2010-03-12;2860;2860;16;POR LA COMPRA DE 04 TRAJESPARA CABALLEROS EN TELA DE GABARDINA CORTE MODERNO COLORES Y DISEÃÂOS A ESCOGER SR. CARLOS URBINA  ;;;;9569.28;;;;;;;;;88;MUY BUENO;S;2010-09-28;EMAIL;2860;;1;2010-09-28
69;J001164928;4;0;2010-06-15;2010-06-17;2856;2856;1;POR LA COMPRA CUATRO SACO PANTALON EN COLORES VARIADO PARA OCHO CAMISAS LARGAS EN COLORES;;;;4784.64;;;;;;;;;88;MUY BUENO;S;2010-09-28;EMAIL;2856;;1;2010-09-28
70;J001164928;4;0;2010-04-21;2010-04-23;2793;2793;1;POR LA COMPRA DE CUATRO TRAJES CON OCHO CAMISAS ;;;;4787.64;;;;;;;;;88;MUY BUENO;S;2010-09-28;EMAIL;2793;;1;2010-09-28
71;J311667202;4;0;2010-02-05;2010-02-17;2802;2802;1;POR EL SERVICIO DE FUMIGACION PARA EL CONTROL DE INSECTOS RASTREROS ROEDORES Y VOLADORES EN LAS AREAS SEDE BANDES EDIF. ANEXO OFICIENTRO EDAL EDIF. VEROES Y FONDO CHINO;;;;24000.00;;;;;;;;;88;MUY BUENO;S;2010-09-28;EMAIL;2802;;1;2010-09-28
72;J296364044;4;0;2010-03-18;2010-03-30;2681;2681;18;POR LA CONTRATACION DE UN SERVICIOS DE CUÃÂAS PUBLICITARIAS EN EL CIRCUITO AM DE LUNES A VIERNES EN HORARIO VESPERTINO QUE INCLUYE 4 CUÃÂAS DIARIAS DE 30 SEG. C/U MAS PRESENTACION Y DESPEDIDA DURANTE  MESES. ;;;;124656.00;;;;;;;;;88;MUY BUENO;S;2010-09-28;EMAIL;2681;;1;2010-09-28
73;J296403112;4;0;2010-05-27;2010-06-02;2845;2845;1;POR AL COMPRA DE 13 PROYECTORES , MODELO VIDEO BEAM, MARCA EPSON S8;;;;116480.00;;;;;;;;;88;MUY BUENO;S;2010-09-28;EMAIL;2845;;1;2010-09-28
74;J297109668;4;0;2010-06-15;2010-07-01;2917;2917;1;POR EL LA COMPRA DE ENCUARDENACIONTERMICA ARTTER MODELOWB530 ;;;;806.40;;;;;;;;;88;MUY BUENO;S;2010-09-29;EMAIL;2917;;1;2010-09-29
75;J298405651;4;0;2010-09-08;2010-09-09;2954;2954;1;POR AL COMPRA DE 500 SEPARADORES DE CARTULINA ,COLOR BLANCO TAMAÃÂO CARTA CON PESTAÃÂA DEL 1 AL 12 ELABORADA EN OPALINA IMPORTADORA.  ;;;;22148.00;;;;;;;;;88;MUY BUENO;S;2010-09-29;EMAIL;2954;;1;2010-09-29
76;J296448884;4;0;2010-09-02;2010-09-10;2935;2935;18;POR LA COMPRA DE 05 CAJS DE GATORADE 1X 2 SURTIDOS  Y 15 PAQUETES DE REFRESCO SURTIDOS  ;;;;3696.00;;;;;;;;;88;MUY BUENO;S;2010-09-29;EMAIL;2935;;1;2010-09-29
77;J297109668;4;0;2010-06-15;2010-07-01;2917;2917;1;POR UNA ENCUADERNADORA TERMICA MARCA ARTTER , MODELO WB 830 PUEDE ENCUADERNAR 240 PAGINAS.;;;;806.40;;;;;;;;;88;MUY BUENO;S;2010-09-29;EMAIL;2917;;1;2010-09-29
78;J312588861;4;0;2010-04-21;2010-09-23;2792;2792;1;POR LA COMPRA DE 01 CHAQUETA ACOLCHADA IMPERMEABLE DE BUENA CALIDAD ,CON TRES BOLSILLO Y DOS BORDADOS PARA EL SR. JOSE GREGORIO .;;;;431.60;;;;;;;;;88;MUY BUENO;S;2010-09-29;EMAIL;2792;;1;2010-09-29
79;J304270160;4;0;2010-08-30;2010-08-31;2940;2940;1;POR LA COMPRA DE 9 TONER HP COLOR NEGRO , 02 TONER HP COLOR NEGRO LASER  ;;;;24410.40;;;;;;;;;88;MUY BUENO;S;2010-09-30;EMAIL;2940;;1;2010-09-29
80;J002354127;4;0;2010-04-29;2010-04-30;2783;2783;1;POR LA COMPRA DE UNMA TARJETA CARD VIDEO NVDIA QUADRO FX 56001.5 GB ;;;;19180.00;;;;;;;;;88;MUY BUENO;S;2010-09-29;EMAIL;2783;;1;2010-09-29
81;J301123760;4;0;2010-04-20;2010-04-29;2798;2798;1;POR LA COMPRA DE UNA PIZARRA ACRILICA BLANCA 0.80 X 1.20;;;;207.20;;;;;;;;;88;MUY BUENO;S;2010-09-29;FAX;2798;;1;2010-09-29
82;J309487515;4;0;2010-05-05;2010-05-27;2818;2818;1;POR LA COMPRA DE 100 CARPETAS TAMAÃÂO OFICIO CON GANCHO DE PRESION ;;;;9128.00;;;;;;;;;88;MUY BUENO;S;2010-09-29;EMAIL;2818;;1;2010-09-29
83;J305006938;4;0;2010-02-19;2010-03-03;2594;2594;1;POR LA COMPRA DE 20 REPUESTOS PARA EQUIPOS MULTIFUNCIONALES LEXMARK MODELO 854/NRO  ;;;;129976.67;;;;;;;;;88;MUY BUENO;S;2010-09-29;EMAIL;2594;;1;2010-09-29
84;J302213002;4;0;2010-05-04;2010-05-05;2842;2842;1;POR LA COMPRA DE 24 EQUIPOS DE COMPUTACION DE MOD. WB993LA;;;;324023.35;;;;;;;;;88;MUY BUENO;S;2010-09-29;EMAIL;2842;;1;2010-09-29
85;J002342064;4;0;2010-03-10;2010-03-10;19163;19163;1;POR EL MANTENIMIENTO , AJUSTE  Y MEJORAS REALIZADAS EN EL SISTEMA DE FIDEICOMISO. ;;;;21504.00;;;;;;;;;88;MUY BUENO;S;2010-10-06;EMAIL;19163;;1;2010-10-06
86;J000272247;4;0;2010-02-25;2010-03-01;2588;2588;1;POR LA COMPRA DE 5000 CHEQUE S EN FORMA CONTINUAS DE LA CUENTA 0070044-49 EN ORIGINAL;;;;43456.00;;;;;;;;;88;MUY BUENO;S;2010-09-29;EMAIL;2588;;1;2010-09-29
